,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
55,91803,9,6,3,0,0,0,0,0,1,1,0,3,4,0,0,1.3333333333333333,3.4444444444444446,0.5,0.7264831572567788,63,37,21,0,0,0,0,1,3,10,7,17,21,4,0,1.3620689655172413,3.4126984126984126,0.4847960635468175,0.7101776387255703
56,91905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,0,2,1,0,0,0,0,0,0,0,1,1,1,0,2.3333333333333335,4.0,0.5773502691896258,0.5
57,91913,6,3,3,0,0,0,0,0,0,0,0,2,2,2,0,1.5,4.0,0.5477225575051661,0.4472135954999579,31,18,7,0,0,0,0,0,1,3,6,8,6,5,2,1.28,3.6129032258064515,0.45825756949558394,0.7605883404680315
58,91915,16,6,10,0,0,0,0,0,1,2,1,6,5,1,0,1.625,3.46875,0.5,0.6700435309241731,59,32,24,0,0,0,1,2,4,7,14,13,15,2,1,1.4285714285714286,3.23728813559322,0.4993502271458878,0.8059901396429342
59,91934,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0,4.0,,,4,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1.5,4.375,0.5773502691896257,0.75
60,91978,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4.5,,,13,9,2,0,0,0,0,0,1,1,0,1,3,4,3,1.1818181818181819,4.076923076923077,0.4045199174779453,0.9319816219163035
61,92008,98,22,70,3,0,0,0,0,0,3,6,30,35,23,1,1.8,3.86734693877551,0.4749020055691668,0.510462799962124,168,59,97,3,0,0,1,1,4,12,16,51,46,34,3,1.6477987421383649,3.6845238095238093,0.5172757849734763,0.6997850906402667
62,92039,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.0,4.0,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.0,4.0,,
63,92083,18,7,11,0,0,0,0,0,0,1,2,4,7,4,0,1.6111111111111112,3.8055555555555554,0.5016313257045503,0.5723760818596172,68,47,19,0,0,0,0,4,2,8,6,16,19,13,0,1.2878787878787878,3.5073529411764706,0.45624391300981515,0.8441751562731711
64,92093,7,7,0,0,0,0,0,0,0,0,2,2,3,0,0,1.0,3.5714285714285716,0.0,0.44986770542121873,28,20,6,0,0,0,0,0,2,2,7,11,5,1,0,1.2307692307692308,3.3214285714285716,0.42966892442365967,0.5965065848924936
65,92104,100,33,64,0,0,0,0,0,1,2,5,7,53,31,1,1.6597938144329898,4.03,0.47623956546190105,0.49144191062133835,168,71,78,0,1,0,0,0,3,9,14,15,69,47,11,1.54,3.9613095238095237,0.5388279599926112,0.6588799782790622
66,92136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10,6,2,0,0,0,0,0,3,1,0,3,3,0,0,1.25,3.1,0.4629100498862757,0.8755950357709131
67,92163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,3.5,,
68,92173,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,5.0,,,60,38,8,0,0,0,2,7,11,12,5,4,11,4,4,1.173913043478261,2.925,0.38322304651683275,1.1230444397081185
69,92178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,3.0,,
70,92182,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,3.0,,,8,6,1,1,0,0,0,0,0,1,4,2,1,0,0,1.375,3.1875,0.7440238091428449,0.45806269065645216
71,92203,3,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1.6666666666666667,4.0,0.5773502691896257,1.0,39,22,13,1,0,0,0,1,8,4,11,4,8,2,1,1.4166666666666667,3.08974358974359,0.5542047068934519,0.8650509178183406
72,92210,9,1,6,2,0,0,0,0,0,0,1,2,5,1,0,2.111111111111111,3.8333333333333335,0.6009252125773316,0.4330127018922193,20,0,14,2,1,0,0,1,1,0,2,5,9,2,0,2.235294117647059,3.6,0.5622957145383871,0.7539370349250519
73,92233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,3.75,0.0,0.3535533905932738
